ligand,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),Ki_estimated (uM)
Ligand_3,1,-7.774,2.03E-06,2.03
Ligand_control_FLP,1,-7.495,3.24E-06,3.24
Ligand_2,1,-7.452,3.49E-06,3.49
Ligand_18,1,-7.445,3.53E-06,3.53
Ligand_7,1,-7.376,3.96E-06,3.96
Ligand_5,1,-7.371,4.00E-06,4
Ligand_12,1,-7.36,4.07E-06,4.07
Ligand_15,1,-7.352,4.13E-06,4.13
Ligand_14,1,-7.333,4.26E-06,4.26
Ligand_1,1,-7.263,4.80E-06,4.8
Ligand_6,1,-7.235,5.03E-06,5.03
Ligand_13,1,-7.112,6.19E-06,6.19
Ligand_20,1,-7.04,6.98E-06,6.98
Ligand_10,1,-7.01,7.35E-06,7.35
Ligand_8,1,-6.884,9.09E-06,9.09
Ligand_11,1,-6.878,9.18E-06,9.18
Ligand_17,1,-6.878,9.18E-06,9.18
Ligand_16,1,-6.792,1.06E-05,10.6
Ligand_9,1,-6.618,1.42E-05,14.2
Ligand_19,1,-6.581,1.52E-05,15.2
Ligand_4,1,-6.118,3.31E-05,33.1
